"No.","Time","Source","Destination","Protocol","Length","Info"
"35219","82.309011","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35220","82.309011","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35221","82.309011","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35222","82.309011","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35223","82.309038","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35224","82.309038","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35225","82.309047","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35226","82.309048","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35227","82.309055","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35228","82.309066","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35229","82.309076","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35230","82.309099","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35231","82.309099","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35232","82.309109","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35233","82.309118","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35234","82.309118","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35235","82.309129","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35236","82.309154","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35237","82.309154","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35238","82.309166","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35239","82.309173","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35240","82.309182","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35241","82.309190","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35242","82.309192","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35243","82.309214","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35244","82.309214","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35245","82.309224","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35246","82.309234","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35247","82.309245","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35248","82.309256","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35249","82.309266","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35250","82.309276","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35251","82.309287","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35252","82.309320","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35253","82.309320","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35254","82.309320","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35255","82.309335","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35256","82.309341","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35257","82.309350","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35258","82.309360","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35259","82.309371","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35260","82.309395","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35261","82.309395","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35262","82.309425","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35263","82.309425","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35264","82.309427","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35265","82.309425","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35266","82.309455","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35267","82.309455","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35268","82.309455","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35269","82.309467","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35270","82.309476","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35271","82.309486","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35272","82.309509","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35273","82.309509","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35274","82.309515","192.168.1.162","65.246.5.18","UDP","82","50854  >  443 Len=40"
"35275","82.309519","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35276","82.309529","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
